"Nº","ALIMENTOS","ESTADO","CALORIAS","PROTEINA","GRASA","CARBOHIDRATOS","AGUA","CENIZAS","A (UI)","B1 (mcg/100)","B2 (mcg/100)","C (mcg/100)","Niac (mcg/100)","Na (mg/100g)","K  (mg/100g)","Ca  (mg/100g)","Mg  (mg/100g)","Fe  (mg/100g)","Cu  (mg/100g)","P  (mg/100g)","S  (mg/100g)","Cl  (mg/100g)","Fen  (mg/100g)","Ileu  (mg/100g)","Leu  (mg/100g)","Lis  (mg/100g)","Met  (mg/100g)","Tre  (mg/100g)","Tri  (mg/100g)","Val  (mg/100g)","ACIDEZ","ALCAINIDAD"
"288","atun","conserva","261.00","33.20","14.60","","49.40","2.50","210.00","45.00","125.00","","380.00","(4) 670","360.00","51.00","","1.60","","825.00","","","1170","1553","1595.00","2791.00","791.00","1358.00","352.00","1755.00","",""
"289","bacalao","fresco","64.00","14.30","0.50","6.50","84.00","1.20","3000.00","85.00","75.00","","2200.00","86.00","327.00","18.00","22.00","0.80","","192.00","150.00","","597","841.00","1253.00","1452.00","476.00","721.00","159.00","881.00","",""
"290","bacalao seco","salado","230.00","38.70","7.20","","40.60","7.00","18000.00","42.00","185.00","","4000.00","(5) 4300","128.00","63.00","81.60","2.30","0.21","298.00","463.00","806.00","895","1258.00","1797.00","2149.00","728.00","1073.00","236.00","1278.00","239",""
"291","balalao","cocido","94.00","19.20","3.10","5.00","75.10","2.60","","","","","","115.00","196.00","19.30","27.60","1.20","0.10","205.00","303.00","160.40","","","","","","","","","",""
"292","bacalao","frito","181.00","21.70","9.00","","63.20","2.10","139.00","69.00","","","2600.00","161.00","342.00","49.60","26.80","1.20","0.10","223.00","243.00","145.00","","","","","","","","","156",""
"293","barbo","fresco","95.00","15.20","4.60","","79.00","1.10","","","","","","100.00","226.00","12.10","25.80","0.80","","311.00","203.00","74.00","","","","","","","","","132",""
"294","barbo","cocido","120.00","19.30","5.00","","73.60","1.50","","","","","","108.00","317.00","13.90","26.60","0.60","","212.00","215.00","108.00","","","","","","","","","145",""
"295","barbo","frito","153.00","18.80","10.50","","69.10","1.20","","","","","","120.00","323.00","19.10","25.70","2.30","","228.00","199.00","150.00","","","","","","","","","148",""
"296","bonito","fresco","147.00","26.70","4.50","","67.30","1.20","3500.00","800.00","100.00","","","(6)75","282.00","26.00","21.80","0.60","","214.00","221.00","85.00","","","","","","","","","150",""
"297","boqueron","fresco","110.00","21.20","3.20","","73.40","19.00","","65.00","55.00","","","186.00","273.00","203.00","36.40","1.30","0.20","199.00","22.00","96.00","","","","","","","","","105",""
"298","boqueron","conserva","177.00","22.00","10.20","","65.50","2.30","","","","","","212.00","305.00","231.00","41.60","3.10","0.21","296.00","245.00","104.00","","","","","","","","","124",""
"299","breca","fresca","75.00","17.00","0.90","","81.70","0.90","1200.00","120.00","145.00","","","(7) 163","301.00","20.40","29.20","2.10","","315.00","186.00","82.00","","","","","","","","","115",""
"300","breca","frita ","146.00","19.60","8.30","","70.00","13.00","","","","","","191.00","332.00","31.60","33.20","2.80","","419.00","236.00","99.00","","","","","","","","","126",""
"301","calamar","fresco","62.00","8.70","3.60","","85.40","2.20","","315.00","180.00","","","236.00","321.00","263.00","15.30","1.60","","185.00","320.00","103.00","","","","","","","","","136",""
"302","calamar","cocido","73.00","9.40","4.30","","83.20","2.60","","","","","","245.00","315.00","298.00","24.30","2.60","","268.00","401.00","165.00","","","","","","","","","152",""
"303","calamar","frito","118.00","10.10","9.20","","76.80","2.90","","","","","","301.00","265.00","343.00","39.10","2.80","","321.00","409.00","116.00","","","","","","","","","161",""
"304","camaron","fresco ","121.00","26.50","1.60","4.20","63.70","4.00","58.00","14.00","31.00","","2100.00","150.00","293.00","117.00","58.00","2.50","0.95","240.00","385.00","143.00","","","","","","","","","168",""
"305","camaron","cocido","128.00","25.20","1.80","0.45","70.30","2.20","40.00","13.00","28.00","","1800.00","200.00","280.00","105.00","45.80","1.90","0.83","230.00","368.00","141.00","968","1327.00","1991.00","2100.00","755.00","998.00","258.00","1500.00","156",""
"306","cangrejo","fresco","89.00","14.20","2.70","1.60","78.00","2.20","45.00","55.00","55.00","12600.00","2100.00","1000.00","110.00","42.00","","0.90","","176.00","","","","","","","","","","","",""
"307","cangrejo","cocido","103.00","14.00","4.10","","79.00","2.90","","49.00","63.00","","1300.00","800.00","170.00","43.00","47.90","0.80","","223.00","465.00","270.00","","","","","","","","","395",""
"308","carpa","fresco","97.00","19.40","1.90","","77.90","0.90","380.00","180.00","36.00","1000.00","","(8) 102","226.00","25.00","24.20","1.30","","161.00","247.00","210.00","","","","","","","","","144",""
"309","carpa","cocido","92.00","19.20","1.50","","75.00","1.10","","","","","","194.00","346.00","15.30","29.60","2.20","","326.00","184.00","102.00","","","","","","","","","136",""
"310","carpa","frita ","115.00","20.10","4.60","","75.20","1.00","","","","","","180.00","349.00","16.10","29.20","2.40","","296.00","179.00","115.00","","","","","","","","","139",""
"311","caviar","conserva","276.00","32.00","16.00","","57.00","","","900.00","650.00","","","458.00","200.00","86.00","25.00","2.80","","190.00","16.00","1600.00","1497","1893.00","2784.00","2403.00","875.00","2032.00","307.00","2061.00","116",""
"312","centollo","fresco","64.00","13.60","2.50","","79.10","4.00","","","","","","165.00","267.00","34.00","36.20","1.10","","312.00","369.00","482.00","","","","","","","","","372",""
"313","centollo","cocido","75.00","14.80","2.70","","76.90","4.70","","","","","","166.00","281.00","29.40","47.90","1.30","","350.00","465.00","570.00","","","","","","","","","395",""
"314","congrio","fresco","98.00","15.70","4.50","","78.50","1.00","560.00","135.00","65.00","","","784.00","260.00","22.40","21.30","0.40","","165.00","202.00","62.00","","","","","","","","","122",""
"315","congrio","cocido","109.00","20.80","3.50","","74.00","1.30","","","","","","99.00","347.00","29.80","28.40","0.50","","220.00","269.00","82.00","","","","","","","","","163",""
"316","congrio","frito","246.00","17.30","19.00","6.50","55.70","1.50","","","","","","108.00","353.00","24.20","29.40","1.00","","247.00","222.00","156.00","","","","","","","","","168",""
"317","chirla","fresco","79.00","12.80","1.40","3.40","80.30","2.10","110.00","100.00","180.00","","1000.00","320.00","195.00","98.00","89.00","7.00","","118.00","219.00","","","","","","","","","","",""
"318","dorada","fresco","83.00","18.60","1.00","","77.10","1.20","310.00","205.00","133.00","","","86.00","178.00","14.30","18.00","0.40","","156.00","145.00","89.00","","","","","","","","","111",""
"319","dorada","cocido","91.00","19.90","1.40","","76.50","1.40","","","","","","139.00","287.00","23.00","29.00","0.60","","251.00","234.00","143.00","","","","","","","","","179",""
"320","faneca","fresca","76.00","18.80","0.14","","78.50","1.55","480.00","65.00","23.00","","","146.00","295.00","25.80","31.20","0.70","","224.00","315.00","173.00","","","","","","","","","182",""
"321","faneca","cocida","83.00","20.10","0.40","","77.10","1.70","","","","","","175.00","312.00","293.30","33.60","0.73","","236.00","341.00","193.00","","","","","","","","","195",""
"322","faneca","frita ","124.00","19.00","6.10","","73.00","1.70","","","","","","181.00","304.00","26.70","35.20","0.71","","231.00","345.00","191.00","","","","","","","","","191",""
"323","gallo","fresco","79.00","19.00","1.20","","77.70","0.96","","90.00","180.00","","","147.00","315.00","40.10","33.30","0.80","","226.00","211.00","151.00","","","","","","","","","128",""
"324","gallo","cocido","97.00","20.60","1.60","","76.80","1.00","","","","","","146.00","304.00","36.00","30.30","0.70","","242.00","236.00","162.00","","","","","","","","","147",""
"325","gallo","frito","122.00","20.60","5.30","","72.60","1.00","","","","","","151.00","330.00","41.60","32.30","0.79","","234.00","226.00","175.00","","","","","","","","","140",""
"326","gambas","fresco","96.00","20.10","2.00","","75.50","2.10","","210.00","190.00","","","164.00","386.00","305.00","96.00","1.40","0.70","259.00","321.00","1263.00","","","","","","","","","14",""
"327","gambas","cocidas","107.00","22.30","2.40","","72.40","2.30","","","","","","179.00","404.00","320.00","105.00","1.80","0.80","270.00","340.00","189.00","","","","","","","","","16",""
"328","hipoglomo (halibut(","fresco","126.00","18.90","4.90","","75.20","1.00","440.00","70.00","130.00","","9200.00","92.00","430.00","12.00","223.20","0.60","0.12","238.00","227.00","143.00","","","","","","","","","186",""
"329","langosta","frseca","90.00","17.50","1.80","","77.80","2.20","","73.00","85.00","","1900.00","370.00","212.00","58.00","30.00","0.70","16.70","242.00","493.00","501.00","","","","","","","","","234",""
"330","langosta","cocida","106.00","8.20","3.40","","76.00","2.00","300.00","66.00","74.00","","1200.00","218.00","165.00","58.00","34.30","0.70","","224.00","515.00","825.00","178","287.00","749.00","1167.00","150.00","346.00","13.00","185.00","384",""
"331","langostino","fresco","240.00","45.70","10.20","","40.30","3.60","","220.00","315.00","","","","","","","","","","","","","","","","","","","","",""
"332","langostino","cocido","124.00","39.20","8.30","","49.00","3.50","","","","","","","","","","","","","","","","","","","","","","","",""
"333","lenguado","fresco","74.00","17.30","0.80","","79.30","1.00","","83.00","75.00","","1800.00","78.00","308.00","73.00","26.10","0.80","","217.00","221.00","128.00","549","760.00","1118.00","1295.00","429.00","651.00","152.00","788.00","158",""
"334","lenguado","cocido","93.00","19.40","1.40","","78.40","0.80","","49.00","54.00","","1600.00","112.00","283.00","82.00","26.00","0.80","","280.00","235.00","139.00","630","860.00","1268.00","1476.00","488.00","725.00","170.00","893.00","176",""
"335","lenguado","frito","221.00","20.10","15.30","","63.70","0.85","","49.00","54.00","","1600.00","166.00","252.00","93.00","25.00","1.10","","232.00","231.00","198.00","","","","","","","","","143",""
"336","lija","cocida","98.00","21.80","0.90","","75.40","","","","","","","135.00","356.00","10.40","29.60","0.50","","215.00","256.00","136.00","","","","","","","","","157",""
"337","lija","frita ","169.00","17.00","8.20","","66.30","","","","","","","164.00","400.00","11.30","31.70","1.20","","206.00","206.00","197.00","","","","","","","","","111",""
"338","lubina","fresca","97.00","15.40","4.50","","79.00","0.75","","135.00","","","","79.00","284.00","39.10","24.30","0.60","","211.00","200.00","81.00","","","","","","","","","163",""
"339","lubina","cocida","123.00","19.50","5.10","","79.90","1.20","","","","","","75.00","326.00","46.90","26.90","0.70","","220.00","233.00","85.00","","","","","","","","","150",""
"340","mecarel","fresca","160.00","18.90","9.30","","70.10","0.90","210.00","60.00","410.00","","6000.00","110.00","340.00","12.00","33.00","1.10","0.23","251.00","197.00","170.00","687","951.00","1398.00","1639.00","621.00","702.00","195.00","1005.00","",""
"341","mecarel","frito","185.00","19.80","11.20","","65.60","2.40","430.00","60.00","210.00","","5800.00","153.00","418.00","107.00","34.80","1.70","0.20","278.00","210.00","114.00","","","","","","","","","127",""
"342","mejillon","frsco","62.00","9.80","1.60","2.20","84.30","1.10","180.00","","","","","289.00","315.00","88.00","22.70","5.80","","236.00","367.00","463.00","","","","","","","","","244",""
"343","mejillon","cocido","87.00","16.80","2.00","","79.00","","","","","","","210.00","92.00","197.00","25.00","13.50","","331.00","348.00","315.00","","","","","","","","","287",""
"344","merluza","fresco","87.00","16.70","2.30","","79.50","1.50","850.00","55.00","180.00","","","(9) 114","294.00","24.10","21.30","0.40","0.09","207.00","176.00","91.00","","","","","","","","","119",""
"345","merluza","cocido","104.00","18.30","3.30","","76.20","1.80","","","","","","118.00","310.00","15.90","26.70","0.60","0.12","218.00","193.00","95.00","","","","","","","","","127",""
"346","merluza","frita ","170.00","18.30","9.30","6.20","63.70","1.90","","40.00","90.00","","2600.00","153.00","297.00","19.60","28.00","0.80","0.17","218.00","197.00","134.00","","","","","","","","","148",""
"347","mero","fresco","86.00","19.20","1.04","","75.90","1.28","450.00","155.00","100.00","","","86.00","305.00","20.30","24.00","0.50","0.10","185.00","203.00","96.00","","","","","","","","","153",""
"348","mero","cocido","107.00","20.40","3.40","","74.50","1.50","","","","","","94.00","364.00","15.30","31.00","0.70","0.13","230.00","214.00","125.00","","","","","","","","","175",""
"349","mujol","fresco","68.00","17.80","1.20","","79.40","1.20","","","","","","96.00","249.00","12.60","26.30","1.70","","239.00","241.00","81.00","","","","","","","","","196",""
"350","mujol","cocido","123.00","21.60","4.00","","72.70","1.50","","","","","","94.00","275.00","14.20","30.00","2.00","","256.00","252.00","277.00","","","","","","","","","201",""
"351","navajas","fresco","118.00","26.70","1.60","","63.70","6.20","","","","","","","","124.00","","","","","","","","","","","","","","","",""
"352","ostras","fresco","53.00","9.60","1.50","3.80","84.70","1.30","210.00","170.00","205.00","3000.00","1100.00","470.00","204.00","91.00","40.50","6.20","3.60","172.00","205.00","763.00","","","","","508","","158","","148",""
"353","ostras","cocido","87.00","5.30","5.40","5.30","82.60","1.40","280.00","60.00","180.00","","400.00","","","117.00","","1.50","","110.00","","","","","","","","","","","",""
"354","percas","fresco","83.00","16.70","1.40","","81.00","0.90","405.00","190.00","68.00","1200.00","4000.00","71.00","288.00","14.00","22.00","0.90","","186.00","214.00","83.00","","","","","","","","","140",""
"355","percas","cocido","92.00","18.40","2.20","0.80","78.60","1.20","","","","","","104.00","369.00","32.00","28.00","0.90","","232.00","228.00","96.00","","","","","","","","","151",""
"356","percebes","cocido","75.00","19.20","1.90","0.80","76.50","1.60","","","","","","","","101.00","","","","","","","","","","","","","","","",""
"357","pescadilla","fresco","70.00","16.40","0.50","","81.90","1.20","520.00","110.00","165.00","","","(10) 116","293.00","19.10","24.10","0.60","","163.00","285.00","90.00","","","","","","","","","159",""
"358","pescadilla","cocido","95.00","20.90","0.80","1.20","75.60","1.50","","","","","","127.00","299.00","42.00","28.30","1.00","","189.00","307.00","93.00","","","","","","","","","164",""
"359","pescadilla","frito","183.00","19.60","10.70","2.80","65.30","1.60","","","","","","199.00","317.00","47.70","32.50","0.70","","258.00","267.00","194.00","","","","","","","","","169",""
"360","platija","fresco","80.00","15.80","1.70","","80.80","","","120.00","195.00","","","96.00","353.00","16.60","22.00","0.80","","218.00","214.00","98.00","","","","","","","","","140",""
"361","platija","cocido","90.00","16.90","1.50","","77.20","","","","","","","115.00","279.00","20.60","20.00","0.60","0.12","247.00","241.00","117.00","","","","","","","","","194",""
"362","platija","frita ","219.00","15.40","13.00","9.30","47.70","","","","","","","136.00","250.00","95.00","22.00","1.10","0.16","241.00","189.00","124.00","","","","","","","","","119",""
"363","rana (ancas)","fresco","72.00","16.30","0.30","","82.00","1.10","","140.00","250.00","","1200.00","1.60","148.00","19.00","28.00","2.20","","123.00","160.00","40.00","","","","","","","","","158",""
"364","rana (ancas)","frita ","283.00","22.00","7.90","8.80","61.80","","","110.00","336.00","","1100.00","","","","","","","","","","","","","","","","","","",""
"365","rape","fresco","73.00","15.80","1.40","","82.20","1.00","620.00","105.00","1358.00","","","65.00","298.00","19.90","20.60","0.20","","173.00","236.00","79.00","","","","","","","","","128",""
"366","rape","cocido","82.00","16.50","2.10","","80.00","1.30","","","","","","79.00","316.00","21.30","20.90","0.30","","189.00","272.00","65.00","","","","","","","","","136",""
"367","raya","frito","242.00","15.00","16.40","7.50","55.40","","","","","","","182.00","236.00","19.40","23.20","1.20","","238.00","213.00","266.00","","","","","","","","","193",""
"368","rodaballo","fresco","81.00","18.10","1.20","","79.50","1.00","","80.00","70.00","","1800.00","84.00","288.00","40.00","28.00","0.80","","192.00","214.00","116.00","548","749.00","1118.00","1297.00","441.00","653.00","150.00","786.00","171",""
"369","rodaballo","cocido","117.00","26.20","1.60","","70.80","1.30","","","","","","92.00","260.00","14.30","28.70","0.60","0.13","210.00","238.00","129.00","","","","","","","","","178",""
"370","salmon","fresco","145.00","21.50","7.80","","70.60","1.00","270.00","130.00","180.00","900.00","7000.00","87.60","280.00","37.00","41.00","2.10","","274.00","187.00","176.00","","","","","","","","","110",""
"371","salmon","cocido","195.00","20.80","10.60","3.40","63.40","1.80","110.00","54.00","185.00","","7200.00","311.00","302.00","78.00","32.00","1.20","","302.00","22.00","64.00","757","1015.00","1580.00","1775.00","575.00","887.00","193.00","1073.00","162",""
"372","salmon","conserva","155.00","20.30","8.20","0.20","70.00","1.30","72.00","","","","","136.00","320.00","66.40","29.80","1.30","0.05","285.00","235.00","94.00","757","1017.00","1587.00","1777.00","578.00","887.00","190.00","1071.00","201",""
"373","salmonete","fresco","69.00","13.50","1.80","","83.00","1.07","200.00","260.00","190.00","","2000.00","106.00","343.00","24.00","28.10","0.80","","280.00","246.00","97.00","","","","","","","","","179",""
"374","salmonete","cocido","118.00","21.40","4.30","","72.50","1.30","","","","","","118.00","364.00","29.20","32.80","0.90","","282.00","268.00","101.00","","","","","","","","","185",""
"375","salmonete","frito","164.00","17.60","10.50","0.70","70.00","1.20","100.00","30.00","200.00","","3000.00","115.00","351.00","24.00","31.20","0.80","","276.00","250.00","98.00","","","","","","","","","182",""
"376","sardina","fresco","141.00","21.80","6.30","1.70","66.50","1.70","1800.00","48.00","86.00","","","(11) 137","320.00","23.40","31.30","4.80","","475.00","198.00","191.00","","","","","","","","","138",""
"377","sardina","cocido","225.00","24.90","14.00","1.20","56.70","3.20","260.00","40.00","150.00","","5000.00","470.00","430.00","49.00","35.60","3.10","","487.00","245.00","195.00","","","","","","","","","150",""
"378","sardina","frita ","347.00","19.60","33.40","","45.20","1.80","","","","","","132.00","409.00","51.00","45.80","4.50","","635.00","284.00","182.00","","","","","","","","","85",""
"379","sardina","coserva ","209.00","19.80","14.50","0.90","60.70","4.10","95.00","45.00","210.00","","5000.00","347.00","410.00","95.00","41.30","4.00","0.04","382.00","283.00","215.00","","","","","","","","","265",""
"380","sollo","fresco","80.00","17.10","1.80","","80.00","1.10","2500.00","90.00","73.00","","2800.00","(12) 75","220.00","42.00","25.00","1.10","","195.00","198.00","94.00","","","","","","","","","178",""
"381","sollo","cocido","122.00","23.20","4.00","","71.30","1.50","","","","","","108.00","128.00","15.20","18.50","2.00","","263.00","291.00","138.00","","","","","","","","","261",""
"382","tenca","fresco","55.00","8.20","2.70","","88.00","1.10","750.00","85.00","125.00","","","105.00","136.00","28.00","22.00","0.60","","150.00","204.00","128.00","","","","","","","","","174",""
"383","tenca","cocido","88.00","16.00","3.10","","79.50","1.40","","","","","","","","","","","","","","","","","","","","","","","",""
"384","trucha","fresco","96.00","19.20","2.10","","77.50","0.90","310.00","135.00","150.00","","2800.00","70.00","290.00","22.00","23.00","0.90","","195.00","184.00","73.00","","","","","","","","","95",""
"385","trucha","cocido","133.00","22.30","3.80","1.30","71.40","1.20","","","","","","88.00","374.00","35.80","30.90","1.00","","270.00","218.00","70.00","","","","","","","","","193",""
"386","trucha","frita ","188.00","26.00","10.20","","62.70","1.10","80.00","55.00","120.00","","12800.00","435.00","278.00","19.00","26.30","1.20","","274.00","176.00","55.00","858","1047.00","1518.00","2528.00","529.00","918.00","","1182.00","",""
"387","vieira","fresco","73.00","14.80","1.90","","80.70","2.30","","","","","","175.00","286.00","78.00","","","","315.00","","","","","","","","","","","142",""
"388","volador","fresco","87.00","15.80","3.00","","79.00","1.20","","","","","","226.00","315.00","104.00","14.20","1.10","","215.00","280.00","79.00","","","","","","","","","167",""
"389","volador","cocido","130.00","21.60","5.90","","71.00","1.40","","","","","","275.00","361.00","123.00","16.30","1.40","","221.00","275.00","87.00","","","","","","","","","182",""
"390","Ballena (Carne)","cruda","120.00","20.00","4.00","1.00","","","","","","","","","","","","","","","","","","","","","","","","","",""
"391","Caballo (Carne)","cruda","112.00","19.00","4.00","0.90","75.20","0.90","","70","120","","4300","22.00","156.00","11.00","28.00","3.40","","123.00","","9.00","","","","","","","","","69",""
"392","Cabra (carne)","cruda","127.00","19.60","4.30","0.50","74.10","1.80","","170","320","","5000","","","11.00","","2.20","","","","","","","","","","","","","",""
"393","Cabrito (carne)","cruda","40.00","7.20","1.60","0.10","90.00","0.80","","","","","","","","","","","","","","","","","","","","","","","",""
"394","Carnero (carne)","cruda","210.00","17.50","16.00","0.20","75.10","1.20","150","180","230","","5350","84.00","301.00","10.00","24.00","2.70","","194.00","211.00","85.00","","","","","","","","","93",""
"395","Corazon","crudo","117","16.8","4.9","0.4","76","","30","430","1240","6000","6000","","","85","","2.7","","132","","","657","870","1238","1378","418","778","221","880","",""
"396","costillas magras","crudo","215","14.5","17","0.3","67.1","1.1","","710","225","1500","4000","69","295","10","18.5","2.1","0.09","165","218","82","350","448","651","724","218","403","108","461","126",""
"397","costillas magras","estofado","306","22.1","24.2","2.1","51","1.8","","238","100","","4300","58","320","7.6","18","3","0.09","201","188","75","978","1281","1829","2043","619","1148","318","1148","187",""
"398","costillas magras","frito","308","21.5","26.6","","50.2","1.2","","","","","","73","296","9.3","18.2","2.6","0.09","196","256","109","865","1128","1756","1890","548","927","222","1178","233",""
"399","costillas semimagr.","estofado","505","18.6","50.3","","29.8","1.1","","","","","","471","208","32","26","2.1","0.09","137","148","52","","","","","","","","","138",""
"400","costillas semimagr.","frito","560","15.2","62","","22","0.8","","","","","","52","216","7.8","12.3","1.8","0.07","163","181","69.3","","","","","","","","","186",""
"401","higado","crudo","134","19.4","4.9","1.8","72.4","1.5","8100","415","8050","23000","15900","77","350","10","","18","","342","","","987","1025","1820","1468","457","925","287","1240","",""
"402","higado","frito","236","22.7","10.8","9.5","55.6","1.4","12000","355","3100","11000","14800","","","13.5","","20.1","","391","","","1176","1317","2157","1762","549","1108","348","1482","",""
"403","Jamon","crudo","262","15.8","18.7","0.3","63.7","1.5","","840","235","","4800","900","321","11.2","15.7","2.3","0.17","164","185","1880","858","1118","1727","1887","550","918","220","1167","119",""
"404","Jamon","cocido","354","20.3","32.1","0.3","45.6","1.7","","475","226","","4300","718","328","12","22","2.6","","227","280","","1065","1468","2266","2557","728","1249","287","1521","223",""
"405","jamon York","crudo","454","17.2","43","0.8","37.9","1.1","","750","280","","4250","1120","340","14.2","14.6","1.6","","136","162","1770","","","","","","","","","76",""
"406","jamon York","cocido","435","16.2","39.6","","48.6","","","","","","","1490","322","12.7","17.4","2.5","","192","198","2350","","","","","","","","","162",""
"407","lomo graso","asado","412","23.7","35.8","","39.6","0.8","","1168","181","","5300","60","420","9.8","20","3.3","0.09","211","199","77","1147","1505","2157","2408","733","1357","391","1532","146",""
"408","lomo graso","estofado","404","18.6","41.3","","39.1","0.8","","","","","","71","273","7.4","19.1","2.6","0.08","193","186","76","","","","","","","","","143",""
"409","lomo graso","frito","489","16.1","53.2","","30","0.7","","","","","","63","252","7.1","20.3","1.9","0.07","180","175","71","","","","","","","","","138",""
"410","lomo magro","asado","271","26.1","18.1","","56","0.8","","638","167","","2500","47","327","5.3","24.3","3.5","0.09","225","243","101","1080","1398","2007","2252","678","1268","347","1412","170",""
"411","lomo magro","estofado","285","20.3","23.2","1.8","53.8","0.9","","330","195","","3200","52","277","7.2","21.3","2.6","0.09","188","239","96","908","1187","1708","1907","579","1078","297","1205","171",""
"412","lomo magro","frito","316","19.6","28.1","","51.5","0.8","","780","230","","4000","458","355","7.3","112","2.8","0.08","195","231","85","","","","","","","","","165",""
"413","manteca","crudo","877","0.8","98","","1","0.1","","","","","","3.6","0.9","0.7","0.8","1.1","0.02","2.1","52","4","","","","","","","","","28",""
"414","pierna","asado","317","24.6","23.2","","","","","","","","","66","308","5.2","22.6","1.7","","363","253","93","","","","","","","","","286",""
"415","promedio","","736","3.9","80","","","","","1200","240","","","69","304","10","24","2.2","","215","206","","","","","","","","","","",""
"416","riñon","crudo","105","15.2","4.3","0.8","","","120","540","1570","12000","8700","","","9","","6.8","","209","","","758","787","1420","1177","327","712","238","948","",""
"417","tocino","salado","763","6.6","80.2","0.7","9","3.5","","180","40","","900","2300","127","7","","0.6","0.05","42","","","148","197","292","309","101","178","49","198","30",""
"418","Corazon","asado","239.00","25.00","14.70","","57.30","","","","","","","","","","","","","","","","","","","","","","","","",""
"419","Costillas grasas","crudo","312.00","14.90","29.30","","54.90","0.90","","120","150","","4000","75.00","246.00","10.50","18.70","1.60","0.16","162.00","149.00","70.00","","","","","","","","","107",""
"420","Costillas grasas","estofado","424.00","20.10","40.10","","39.70","1.10","","210","330","","7800","92.00","391.00","13.50","19.80","2.80","0.18","195.00","213.00","90.00","818","1047","1567","1638","491","932","258","993","141",""
"421","Costillas grasas","asado","396.00","21.70","37.80","","39.30","1.10","","88","126","","4600","118.00","293.00","13.20","19.10","2.30","0.17","185.00","201.00","89.00","","","","","","","","","153",""
"422","Costillas grasas","frito","480.00","15.40","52.60","","34.69","1.00","","","","","","86.00","241.00","14.00","17.90","2.60","0.12","184.00","166.00","92.00","","","","","","","","","126",""
"423","Costillas Magras","crudo","158.00","19.30","8.30","","71.40","1.00","","180","160","","","91.00","350.00","12.60","27.20","1.70","0.16","195.00","208.00","84.00","","","","","","","","","121",""
"424","Costillas Magras","estofado","235.00","26.90","14.90","","57.10","1.10","","","","","","127.00","400.00","20.90","30.00","2.50","0.18","239.00","286.00","110.00","","","","","","","","","170",""
"425","Costillas Magras","asado","195.00","23.30","11.70","0.80","63.00","1.20","","60","35","","","136.00","393.00","22.10","31.60","2.80","0.20","247.00","287.00","119.00","","","","","","","","","187",""
"426","Costillas Magras","frito","305.00","24.80","23.60","","50.50","1.10","","228","305","","8000","96.00","412.00","11.30","23.00","3.10","0.30","224.00","250.00","134.00","","","","","","","","","166",""
"427","cuello","estofado","326.00","24.20","24.40","","","","","","","","","66.00","186.00","50.00","26.60","6.80","","220.00","259.00","82.00","","","","","","","","","203",""
"428","higado","crudo","131.00","20.00","3.80","2.80","","","48000","385","3100","32000","15800","","","8.00","","11.60","","350.00","","","1047","1088","1928","1568","487","1003","321","1316","",""
"429","higado","cocido","232.00","24.80","8.50","10.50","","","57000","330","3200","19000","15900","","","10.50","","13.00","","410.00","","","971","995","2278","1836","478","908","365","1553","",""
"430","lengua","estofado","297.00","18.00","24.00","","56.90","","","","","","","79.00","109.00","11.10","13.20","3.40","","196.00","187.00","80.00","","","","","","","","","187",""
"431","paletilla","cocido","335.00","23.50","24.60","","50.00","","","167","268","","6200","60.00","395.00","6.00","23.00","3.00","","231.00","","","995","1268","1897","1987","587","1119","323","1207","",""
"432","pierna","crudo","235.00","18.00","17.50","0.30","63.00","0.80","","130","190","","4800","70.00","370.00","9.00","","2.50","","213.00","","","","","","","","","","","",""
"433","pierna","estofado","262.00","20.30","17.80","","60.50","1.10","","163","221","","5100","63.00","312.00","4.50","24.00","4.10","0.24","223.00","280.00","67.00","","","","","","","","","225",""
"434","pierna","asado","260.00","22.00","19.00","","57.80","1.20","","148","250","","4900","91.00","312.00","8.30","18.00","3.10","","223.00","271.00","62.00","841","1071","1545","1667","497","948","271","1008","199",""
"435","riñon","crudo","99.00","16.60","3.00","0.90","78.60","0.90","1070","427","1800","12000","6900","250.00","254.00","12.50","16.00","9.80","0.31","226.00","166.00","295.00","778","798","1437","1193","338","742","251","971","157",""
"436","riñon","frito","192.00","28.00","9.10","","61.80","1.10","","","","","","261.00","304.00","16.60","6.70","14.50","0.30","433.00","275.00","288.00","","","","","","","","","310",""
"437","sesos","cocido","103.00","11.70","6.70","","80.80","0.80","","260","215","1000","","170.00","268.00","10.80","17.80","2.20","","339.00","129.00","144.00","","","","","","","","","177",""
"438","Carne","cruda","134","19.2","6.6","0.4","72.7","1.1","","","","","","64","138","12.1","18.3","2.3","","156","188","94","","","","","","","","","193",""
"439","Carne","cocida","165","23.3","9.2","","66.1","1.2","","","","","","93","121","12.3","14.1","3.8","","217","199","96","","","","","","","","","198",""
"440","corazon","crudo ","130","15.4","7.1","1","76","","","600","","","9700","103.00","370.00","11.00","35.00","6.20","","246.00","295.00","125.00","758","846","1496","1378","398","782","221","969","85",""
"441","costillas","crudo ","135","19.5","7.5","0.4","71.6","1","50","175","310","","6100","91.00","385.00","11.00","19.70","2.50","","271.00","301.00","106.00","","","","","","","","","",""
"442","costillas","asado","232","30.5","12.6","0.3","56.6","1.2","","118","211","","6200","86.00","432.00","12.60","26.50","3.20","","332.00","330.00","113.00","1350","1748","2431","2772","760","1428","427","1708","285",""
